"General Disturbance","Grand Service Drive & Linwood St","1609"
"General Disturbance","W 7 Mile Rd & Grandview St","1601"
"General Disturbance","N I 75 Service Drive & Mack Ave","1388"
"General Disturbance","Hayes St & E 7 Mile Rd","1323"
"General Disturbance","Chalmers St & E 7 Mile Rd","1182"
"General Disturbance","Wyoming St & 8 Mile Rd","1177"
"General Disturbance","W I 96 Service Drive & W Grand Blvd","1099"
"General Disturbance","Cadillac Ave & Gratiot Ave","1088"
"General Disturbance","Fullerton St & Linwood St","1085"
"Report of a Shooting/Cutting/Penetrating Wound","Lesure St & W Outer Dr","1069"
"General Disturbance","Greenfield Rd & Plymouth Rd","1008"
"General Disturbance","E 7 Mile Rd & E Outer Dr","1006"
"General Disturbance","Waverly & Dexter Ave","980"
"General Disturbance","Dexter Ave & Atkinson St","958"
"General Disturbance","Anderdon Ave & Mack Service Drive","893"
"General Disturbance","Strathmoor St & Fenkell St","890"
"General Disturbance","Woodward Ave & Edison St","888"
"General Disturbance","E Lafayette St & Beaubien St","868"
"General Disturbance","Gratiot Ave & 8 Mile Rd","862"
"General Disturbance","W McNichols Rd & Livernois Ave","856"
"General Disturbance","W McNichols Rd & E McNichols Rd","852"
"General Disturbance","Puritan St & Schaefer Hwy","838"
"General Disturbance","S I 375 Service Drive & E Jefferson Ave","833"
"General Disturbance","Van Dyke St & E 7 Mile Rd","832"
"General Disturbance","Schaefer Hwy & W McNichols Rd","820"
"General Disturbance","W 7 Mile Rd & Southfield Service Drive","815"
"General Disturbance","Cadieux Rd & Harper Ave","808"
"General Disturbance","E Jefferson Ave & Saint Aubin St","804"
"General Disturbance","Clairmount St & Woodward Ave","802"
"General Disturbance","Gratiot Ave & Mohican St","790"
"General Disturbance","Woodward Ave & W Stimson St","782"
"Medical EMS Call for Trouble/Forced Entry","3rd St & Peterboro St","776"
"General Disturbance","Harper Ave & Dickerson St","758"
"General Disturbance","Linwood St & W Euclid St","717"
"Report of a Shooting/Cutting/Penetrating Wound","Moross Rd & Northdeuft Blvd","699"
"General Disturbance","Pitt St & Central St","682"
"Report of a Shooting/Cutting/Penetrating Wound","W Grand Blvd & Lincoln St","675"
"General Disturbance","W Warren Ave & Archdale St","674"
"General Disturbance","Grand River Ave & Livernois Ave","667"
"General Disturbance","Ludden St & Mount Elliott St","666"
"General Disturbance","Macomb St & Chene St","665"
"General Disturbance","Howard St & 5th St","648"
"Report of an Assault & Battery","W Grand Blvd & Lincoln St","648"
"General Disturbance","Greenfield Rd & Chalfonte St","641"
"General Disturbance","Prest St & Joy Rd","640"
"General Disturbance","Schoolcraft St & Winthrop St","632"
"General Disturbance","Morang Dr & McKinney Ave","621"
"General Disturbance","Bagley St & 3rd St","616"
"General Disturbance","Chene St & E Jefferson Ave","610"
"General Disturbance","E McNichols Rd & Conant St","599"
